filedFor,ticker,value
2013-06-30,AXP,11334417000
2013-06-30,BK,691264000
2013-06-30,CBI,569798000
2013-06-30,COP,1459497000
2013-06-30,COST,479140000
2013-06-30,DE,323275000
2013-06-30,DISH,23272000
2013-06-30,DTV1,2297655000
2013-06-30,DVA,1808848000
2013-06-30,FWONA,712688000
2013-06-30,GE,13657000
2013-06-30,GHC,835840000
2013-06-30,GL,275921000
2013-06-30,GM,1332400000
2013-06-30,IBM,13018792000
2013-06-30,JNJ,28085000
2013-06-30,KO,16044001000
2013-06-30,KRFT,10764000
2013-06-30,LEE,181000
2013-06-30,MA,232673000
2013-06-30,MCO,1518508000
2013-06-30,MDLZ,16490000
2013-06-30,MEG1,51248000
2013-06-30,MTB,601444000
2013-06-30,NOV,611832000
2013-06-30,PCP,446898000
2013-06-30,PG,4064539000
2013-06-30,PSX,1600226000
2013-06-30,STRZA,124254000
2013-06-30,UPS,5137000
2013-06-30,USB,2829725000
2013-06-30,USG,393514000
2013-06-30,V,284260000
2013-06-30,VIAB,517518000
2013-06-30,VRSK,93337000
2013-06-30,VRSN,486679000
2013-06-30,WBC,304461000
2013-06-30,WFC,19113442000
2013-06-30,WMT,3668426000
2013-06-30,XOM,2822906
2013-09-30,AXP,11449640000
2013-09-30,BK,744269000
2013-09-30,CBI,647254000
2013-09-30,COP,940419000
2013-09-30,COST,499073000
2013-09-30,DE,323832000
2013-09-30,DISH,24635000
2013-09-30,DTV1,2182848000
2013-09-30,DVA,1789325000
2013-09-30,FWONA,827327000
2013-09-30,GE,14069000
2013-09-30,GHC,1056270000
2013-09-30,GL,306461000
2013-09-30,GM,1438800000
2013-09-30,IBM,12614828000
2013-09-30,JNJ,28356000
2013-09-30,KO,15152001000
2013-09-30,KRFT,10111000
2013-09-30,LEE,235000
2013-09-30,MA,272476000
2013-09-30,MCO,1752777000
2013-09-30,MDLZ,18161000
2013-09-30,MEG1,66255000
2013-09-30,MTB,602358000
2013-09-30,NOV,693617000
2013-09-30,PCP,449330000
2013-09-30,PG,3990629000
2013-09-30,PSX,1570618000
2013-09-30,STRZA,158156000
2013-09-30,UPS,5427000
2013-09-30,USB,2894119000
2013-09-30,USG,487923000
2013-09-30,V,297248000
2013-09-30,VIAB,635809000
2013-09-30,VRSK,101561000
2013-09-30,VRSN,557832000
2013-09-30,WBC,343471000
2013-09-30,WFC,19136598000
2013-09-30,WMT,3642325000
2013-09-30,XOM,3449290000
2013-12-31,AXP,13755639000
2013-12-31,BK,861370000
2013-12-31,CBI,794050000
2013-12-31,COP,782799000
2013-12-31,COST,515757000
2013-12-31,DE,363381000
2013-12-31,DTV1,2521705000
2013-12-31,DVA,2310552000
2013-12-31,FWONA,775347000
2013-12-31,GE,296712000
2013-12-31,GHC,1146062000
2013-12-31,GL,331029000
2013-12-31,GM,1634800000
2013-12-31,GS,2239065000
2013-12-31,IBM,12777641000
2013-12-31,JNJ,29959000
2013-12-31,KO,16524000000
2013-12-31,KRFT,10387000
2013-12-31,LBTYA,262397000
2013-12-31,LEE,308000
2013-12-31,MA,338361000
2013-12-31,MCO,1935837000
2013-12-31,MDLZ,20403000
2013-12-31,MEG1,105005000
2013-12-31,MTB,626576000
2013-12-31,NOV,706226000
2013-12-31,PCP,532496000
2013-12-31,PG,4297885000
2013-12-31,PSX,2095153000
2013-12-31,STRZA,132804000
2013-12-31,UPS,6242000
2013-12-31,USB,3204565000
2013-12-31,USG,990184000
2013-12-31,V,346370000
2013-12-31,VIAB,664412000
2013-12-31,VRSK,102749000
2013-12-31,VRSN,655280000
2013-12-31,WBC,380770000
2013-12-31,WFC,21040998000
2013-12-31,WMT,3893875000
2013-12-31,XOM,4162320000
2014-03-31,AXP,13649511000
2014-03-31,BK,869997000
2014-03-31,CBI,832348000
2014-03-31,COP,779475000
2014-03-31,COST,483950000
2014-03-31,DE,361272000
2014-03-31,DTV1,2637614000
2014-03-31,DVA,2590216000
2014-03-31,FWONA,692869000
2014-03-31,GE,274059000
2014-03-31,GHC,1215915000
2014-03-31,GL,333359000
2014-03-31,GM,1032600000
2014-03-31,GS,2069676000
2014-03-31,IBM,13157670000
2014-03-31,JNJ,32131000
2014-03-31,KO,15464001000
2014-03-31,KRFT,10809000
2014-03-31,LBTYA,305634000
2014-03-31,LBTYK,299095000
2014-03-31,LEE,397000
2014-03-31,MA,302535000
2014-03-31,MCO,1956807000
2014-03-31,MDLZ,19970000
2014-03-31,MEG1,85351000
2014-03-31,MTB,652842000
2014-03-31,NOV,691486000
2014-03-31,PCP,499792000
2014-03-31,PG,4255122000
2014-03-31,PSX,750664000
2014-03-31,STRZA,61963000
2014-03-31,UPS,5784000
2014-03-31,USB,3429944000
2014-03-31,USG,1141607000
2014-03-31,V,335761000
2014-03-31,VIAB,646535000
2014-03-31,VRSK,93744000
2014-03-31,VRSN,629974000
2014-03-31,VZ,524352000
2014-03-31,WBC,430297000
2014-03-31,WFC,23052408000
2014-03-31,WMT,4436946000
2014-03-31,XOM,4017544000
2014-06-30,AXP,14383308000
2014-06-30,BK,923989000
2014-06-30,CBI,729816000
2014-06-30,CHTR,365701000
2014-06-30,COP,116184000
2014-06-30,COST,499030000
2014-06-30,DE,360277000
2014-06-30,DNOW,66104000
2014-06-30,DTV1,1995014000
2014-06-30,DVA,2720762000
2014-06-30,FWONA,546720000
2014-06-30,GE,278186000
2014-06-30,GHC,77251000
2014-06-30,GL,346998000
2014-06-30,GM,1196451000
2014-06-30,GS,2115024000
2014-06-30,IBM,12720437000
2014-06-30,JNJ,34221000
2014-06-30,KO,16944000000
2014-06-30,KRFT,11550000
2014-06-30,LBTYA,436299000
2014-06-30,LBTYK,310850000
2014-06-30,LEE,395000
2014-06-30,MA,297554000
2014-06-30,MCO,2162553000
2014-06-30,MDLZ,21739000
2014-06-30,MEG1,95387000
2014-06-30,MTB,667642000
2014-06-30,NOV,601342000
2014-06-30,PCP,473659000
2014-06-30,PG,4149008000
2014-06-30,PSX,522457000
2014-06-30,UPS,6098000
2014-06-30,USB,3469692000
2014-06-30,USG,1175131000
2014-06-30,V,379225000
2014-06-30,VIAB,659772000
2014-06-30,VRSK,93837000
2014-06-30,VRSN,633798000
2014-06-30,VZ,733996000
2014-06-30,WBC,435433000
2014-06-30,WFC,24359359000
2014-06-30,WMT,4413910000
2014-06-30,XOM,4140932000
2014-09-30,AXP,13272002000
2014-09-30,BK,905413000
2014-09-30,CBI,619059000
2014-09-30,CHTR,749296000
2014-09-30,COP,36117000
2014-09-30,COST,543057000
2014-09-30,DE,620451
2014-09-30,DNOW,55515000
2014-09-30,DTV1,2595600000
2014-09-30,DVA,2751611000
2014-09-30,ESRX,31747000
2014-09-30,FWONA,188720000
2014-09-30,FWONK,375920000
2014-09-30,GE,271200000
2014-09-30,GHC,75259000
2014-09-30,GL,332745000
2014-09-30,GM,1277600000
2014-09-30,GS,2318769000
2014-09-30,IBM,13378840000
2014-09-30,JNJ,34866000
2014-09-30,KO,17064001000
2014-09-30,KRFT,10866000
2014-09-30,LBTYA,442459000
2014-09-30,LBTYK,301336000
2014-09-30,LEE,300000
2014-09-30,MA,348562000
2014-09-30,MCO,2331294000
2014-09-30,MDLZ,19805000
2014-09-30,MEG1,60912000
2014-09-30,MTB,663552000
2014-09-30,NOV,485698000
2014-09-30,PCP,493237000
2014-09-30,PG,4420893000
2014-09-30,PSX,504317000
2014-09-30,UPS,5838000
2014-09-30,USB,3350353000
2014-09-30,USG,1072166000
2014-09-30,V,457954000
2014-09-30,VIAB,593069000
2014-09-30,VRSK,95197000
2014-09-30,VRSN,715733000
2014-09-30,VZ,749897000
2014-09-30,WBC,370742000
2014-09-30,WFC,24039574000
2014-09-30,WMT,4617663000
2014-09-30,XOM,3868243000
2014-12-31,AXP,14105859000
2014-12-31,BK,893050000
2014-12-31,CBI,449233000
2014-12-31,CHTR,1032751000
2014-12-31,COST,614254000
2014-12-31,DE,1512562000
2014-12-31,DNOW,46972000
2014-12-31,DTV1,2718346000
2014-12-31,DVA,2920956000
2014-12-31,FWONA,141080000
2014-12-31,FWONK,280240000
2014-12-31,GE,267496000
2014-12-31,GHC,92914000
2014-12-31,GL,344181000
2014-12-31,GM,1431311000
2014-12-31,GS,2448370000
2014-12-31,IBM,12349358000
2014-12-31,JNJ,34205000
2014-12-31,KO,16887999000
2014-12-31,KRFT,12072000
2014-12-31,LBTYA,543034000
2014-12-31,LBTYK,354932000
2014-12-31,LEE,327000
2014-12-31,MA,465243000
2014-12-31,MCO,2363611000
2014-12-31,MDLZ,20996000
2014-12-31,MEG1,77731000
2014-12-31,MTB,676093000
2014-12-31,NOV,344582000
2014-12-31,PCP,687396000
2014-12-31,PG,4808922000
2014-12-31,PSX,470897000
2014-12-31,QSR,329428000
2014-12-31,TFCFA,182324000
2014-12-31,UPS,6603000
2014-12-31,USB,3600249000
2014-12-31,USG,1091666000
2014-12-31,V,657936000
2014-12-31,VIAB,649723000
2014-12-31,VRSK,100138000
2014-12-31,VRSN,740145000
2014-12-31,VZ,701743000
2014-12-31,WBC,427117000
2014-12-31,WFC,25406775000
2014-12-31,WMT,5185887000
2015-03-31,AXP,11843828000
2015-03-31,BK,832180000
2015-03-31,CBI,527137000
2015-03-31,CHTR,1154631000
2015-03-31,COST,656483000
2015-03-31,DE,1517922000
2015-03-31,DNOW,39506000
2015-03-31,DTV1,2668181000
2015-03-31,DVA,3134610000
2015-03-31,FWONA,154200000
2015-03-31,FWONK,305600000
2015-03-31,GE,262628000
2015-03-31,GHC,112914000
2015-03-31,GL,348947000
2015-03-31,GM,1537501000
2015-03-31,GS,2374349000
2015-03-31,IBM,12770201000
2015-03-31,JNJ,32906000
2015-03-31,KO,16220000000
2015-03-31,KRFT,16784000
2015-03-31,LBTYA,532344000
2015-03-31,LBTYK,365952000
2015-03-31,LEE,282000
2015-03-31,MA,451799000
2015-03-31,MCO,2560723000
2015-03-31,MDLZ,20860000
2015-03-31,MEG1,76616000
2015-03-31,MTB,683519000
2015-03-31,NOV,98925000
2015-03-31,PCP,882166000
2015-03-31,PG,4325865000
2015-03-31,PSX,589457000
2015-03-31,QSR,324112000
2015-03-31,TFCFA,210759000
2015-03-31,UPS,5758000
2015-03-31,USB,3658385000
2015-03-31,USG,1041354000
2015-03-31,V,646588000
2015-03-31,VIAB,564505000
2015-03-31,VRSK,111629000
2015-03-31,VRSN,869605000
2015-03-31,VZ,729495000
2015-03-31,WBC,474709000
2015-03-31,WFC,25583903000
2015-03-31,WMT,4966691000
2015-06-30,AXP,11783184000
2015-06-30,AXTA,661600000
2015-06-30,BK,867957000
2015-06-30,CBI,466719000
2015-06-30,CHTR,1458139000
2015-06-30,COST,585264000
2015-06-30,DE,1679944000
2015-06-30,DNOW,36348000
2015-06-30,DTV1,2909288000
2015-06-30,DVA,3064805000
2015-06-30,FWONA,144160000
2015-06-30,FWONK,287200000
2015-06-30,GE,281257000
2015-06-30,GHC,115649000
2015-06-30,GL,369915000
2015-06-30,GM,1366530000
2015-06-30,GS,2637337000
2015-06-30,IBM,12942062000
2015-06-30,JNJ,31879000
2015-06-30,KO,15692001000
2015-06-30,KRFT,16404000
2015-06-30,LBTYA,559234000
2015-06-30,LBTYK,371977000
2015-06-30,LEE,296000
2015-06-30,MA,488878000
2015-06-30,MCO,2663349000
2015-06-30,MDLZ,23779000
2015-06-30,MEG1,76756000
2015-06-30,MTB,672379000
2015-06-30,PCP,839612000
2015-06-30,PG,4130531000
2015-06-30,PSX,2392467
2015-06-30,QSR,322425000
2015-06-30,TFCFA,202693000
2015-06-30,UPS,5756000
2015-06-30,USB,3691742000
2015-06-30,USG,1083866000
2015-06-30,V,663788000
2015-06-30,VIAB,365004000
2015-06-30,VRSK,113755000
2015-06-30,VRSN,801434000
2015-06-30,VZ,699193000
2015-06-30,WBC,467315000
2015-06-30,WFC,26449243000
2015-06-30,WMT,4283129000
2015-09-30,AXP,11238901000
2015-09-30,AXTA,587875000
2015-09-30,BK,787393000
2015-09-30,CBI,78653000
2015-09-30,CHTR,1808020000
2015-09-30,COST,626474000
2015-09-30,DE,1261857000
2015-09-30,DNOW,27018000
2015-09-30,DVA,2789448000
2015-09-30,FWONA,278617000
2015-09-30,FWONK,530210000
2015-09-30,GE,266966000
2015-09-30,GHC,62071000
2015-09-30,GL,358350000
2015-09-30,GM,1501000000
2015-09-30,GS,1904326000
2015-09-30,IBM,11747419000
2015-09-30,JNJ,30535000
2015-09-30,KHC,22983305000
2015-09-30,KO,16047999000
2015-09-30,LBTYA,513446000
2015-09-30,LBTYK,301373000
2015-09-30,LEE,185000
2015-09-30,LILA,17422000
2015-09-30,LILAK,12578000
2015-09-30,MA,471306000
2015-09-30,MCO,2422572000
2015-09-30,MDLZ,24201000
2015-09-30,MEG1,48564000
2015-09-30,MTB,656340000
2015-09-30,PCP,964963000
2015-09-30,PG,3797934000
2015-09-30,PSX,4724655000
2015-09-30,QSR,303101000
2015-09-30,T,1932670000
2015-09-30,TFCFA,241522000
2015-09-30,UPS,5862000
2015-09-30,USB,3488441000
2015-09-30,USG,1038234000
2015-09-30,V,688600000
2015-09-30,VRSK,115553000
2015-09-30,VRSN,916222000
2015-09-30,VZ,652691000
2015-09-30,WBC,373110000
2015-09-30,WFC,24149513000
2015-09-30,WMT,3643055000
2015-12-31,AXP,10544524000
2015-12-31,AXTA,621585000
2015-12-31,BK,829026000
2015-12-31,CHTR,1882561000
2015-12-31,COST,699838000
2015-12-31,DE,1745375000
2015-12-31,DNOW,28880000
2015-12-31,DVA,2688406000
2015-12-31,FWONA,306150000
2015-12-31,FWONK,585909000
2015-12-31,GE,329739000
2015-12-31,GHC,52171000
2015-12-31,GL,363180000
2015-12-31,GM,1700501000
2015-12-31,GS,1975234000
2015-12-31,IBM,11151823000
2015-12-31,JNJ,33600000
2015-12-31,KHC,23693189000
2015-12-31,KMI,395880000
2015-12-31,KO,17184000000
2015-12-31,LBTYA,531377000
2015-12-31,LBTYK,299536000
2015-12-31,LEE,149000
2015-12-31,LILA,21394000
2015-12-31,LILAK,15796000
2015-12-31,MA,509169000
2015-12-31,MCO,2475366000
2015-12-31,MDLZ,25918000
2015-12-31,MEG1,56062000
2015-12-31,MTB,652195000
2015-12-31,PCP,974626000
2015-12-31,PG,4192298000
2015-12-31,PSX,5029632000
2015-12-31,QSR,315252000
2015-12-31,T,1602719000
2015-12-31,TFCFA,243133000
2015-12-31,UPS,5716000
2015-12-31,USB,3629646000
2015-12-31,USG,947359000
2015-12-31,V,766594000
2015-12-31,VRSK,120197000
2015-12-31,VRSN,1134370000
2015-12-31,VZ,693343000
2015-12-31,WBC,340650000
2015-12-31,WFC,26076724000
2015-12-31,WMT,3444158000
2016-03-31,AAPL,1069382000
2016-03-31,AXP,9308898000
2016-03-31,AXTA,681061000
2016-03-31,BK,767066000
2016-03-31,CHTR,2090455000
2016-03-31,COST,682851000
2016-03-31,DE,1792404000
2016-03-31,DNOW,32349000
2016-03-31,DVA,2829941000
2016-03-31,FWONA,386300000
2016-03-31,FWONK,761800000
2016-03-31,GE,336514000
2016-03-31,GHC,51636000
2016-03-31,GL,344118000
2016-03-31,GM,1571500000
2016-03-31,GS,1720425000
2016-03-31,IBM,12302631000
2016-03-31,JNJ,35392000
2016-03-31,KHC,25581871000
2016-03-31,KMI,473889000
2016-03-31,KO,18556000000
2016-03-31,LBTYA,599732000
2016-03-31,LBTYK,275952000
2016-03-31,LEE,160000
2016-03-31,LILA,18131000
2016-03-31,LILAK,13915000
2016-03-31,MA,466334000
2016-03-31,MCO,2382113000
2016-03-31,MDLZ,23189000
2016-03-31,MEG1,56617000
2016-03-31,MTB,597406000
2016-03-31,PG,25961000
2016-03-31,PSX,6541939000
2016-03-31,QSR,327656000
2016-03-31,TFCFA,249578000
2016-03-31,UPS,6265000
2016-03-31,USB,3452714000
2016-03-31,USG,967640000
2016-03-31,V,783091000
2016-03-31,VRSK,124950000
2016-03-31,VRSN,1149692000
2016-03-31,VZ,811250000
2016-03-31,WBC,346110000
2016-03-31,WFC,23198499000
2016-03-31,WMT,3783104000
2016-06-30,AAPL,1455768000
2016-06-30,AXP,9211866000
2016-06-30,AXTA,618786000
2016-06-30,BK,809137000
2016-06-30,CHTR,2134924000
2016-06-30,COST,680511000
2016-06-30,DE,1779577000
2016-06-30,DNOW,33116000
2016-06-30,DVA,2981889000
2016-06-30,FWONA,47850000
2016-06-30,FWONK,94850000
2016-06-30,GE,333233000
2016-06-30,GHC,52663000
2016-06-30,GL,392788000
2016-06-30,GM,1415000000
2016-06-30,GS,1628365000
2016-06-30,IBM,12329439000
2016-06-30,JNJ,39677000
2016-06-30,KHC,28812169000
2016-06-30,KMI,496708000
2016-06-30,KO,18132000000
2016-06-30,LBTYA,562802000
2016-06-30,LBTYK,210491000
2016-06-30,LEE,170000
2016-06-30,LILA,87581000
2016-06-30,LILAK,41718000
2016-06-30,LSXMA,313600000
2016-06-30,LSXMK,617399000
2016-06-30,MA,434555000
2016-06-30,MCO,2311805000
2016-06-30,MDLZ,26305000
2016-06-30,MEG1,59672000
2016-06-30,MTB,636319000
2016-06-30,PG,26705000
2016-06-30,PSX,6250563000
2016-06-30,QSR,351030000
2016-06-30,TFCFA,242148000
2016-06-30,UPS,6399000
2016-06-30,USB,3430598000
2016-06-30,USG,1051494000
2016-06-30,V,759438000
2016-06-30,VRSK,126763000
2016-06-30,VRSN,1119894000
2016-06-30,VZ,837652000
2016-06-30,WBC,296420000
2016-06-30,WFC,22704405000
2016-06-30,WMT,2937332000
2016-09-30,AAL,797020000
2016-09-30,AAPL,1721492000
2016-09-30,AXP,9709150000
2016-09-30,AXTA,659369000
2016-09-30,BK,842932000
2016-09-30,CHTR,2549459000
2016-09-30,COST,660881000
2016-09-30,DAL,249303000
2016-09-30,DE,1799610000
2016-09-30,DNOW,39122000
2016-09-30,DVA,2548027000
2016-09-30,FWONA,37131000
2016-09-30,FWONK,89740000
2016-09-30,GE,313541000
2016-09-30,GHC,51783000
2016-09-30,GL,405940000
2016-09-30,GM,1588501000
2016-09-30,GS,1767441000
2016-09-30,IBM,12903752000
2016-09-30,JNJ,38640000
2016-09-30,KHC,29147573000
2016-09-30,KMI,462600000
2016-09-30,KO,16928001000
2016-09-30,LBTYA,689783000
2016-09-30,LBTYK,242744000
2016-09-30,LEE,333000
2016-09-30,LILA,74903000
2016-09-30,LILAK,36017000
2016-09-30,LSXMA,341799000
2016-09-30,LSXMK,742909000
2016-09-30,MA,502210000
2016-09-30,MCO,2671244000
2016-09-30,MDLZ,25374000
2016-09-30,MTB,624856000
2016-09-30,PG,28307000
2016-09-30,PSX,6499571000
2016-09-30,QSR,376176000
2016-09-30,TFCFA,216814000
2016-09-30,UAL,237847000
2016-09-30,UPS,6496000
2016-09-30,USB,3648359000
2016-09-30,USG,1008202000
2016-09-30,V,873516000
2016-09-30,VRSK,127076000
2016-09-30,VRSN,1013423000
2016-09-30,VZ,779748000
2016-09-30,WBC,382414000
2016-09-30,WFC,21241306000
2016-09-30,WMT,935510000
2016-12-31,AAL,2126489000
2016-12-31,AAPL,6643394000
2016-12-31,AXP,11231321000
2016-12-31,AXTA,634413000
2016-12-31,BK,1026818000
2016-12-31,CHTR,2718970000
2016-12-31,COST,693815000
2016-12-31,DAL,2952679000
2016-12-31,DVA,2475910000
2016-12-31,GE,334501000
2016-12-31,GHC,55073000
2016-12-31,GL,468651000
2016-12-31,GM,1741999000
2016-12-31,GS,2624257000
2016-12-31,IBM,13483751000
2016-12-31,JNJ,37685000
2016-12-31,KHC,28434432000
2016-12-31,KO,16584000000
2016-12-31,LBTYA,617334000
2016-12-31,LBTYK,218205000
2016-12-31,LILA,59618000
2016-12-31,LILAK,27183000
2016-12-31,LSXMA,347230000
2016-12-31,LSXMK,754249000
2016-12-31,LUV,2153276000
2016-12-31,MA,509514000
2016-12-31,MCO,2325620000
2016-12-31,MDLZ,25623000
2016-12-31,MON2,846076000
2016-12-31,MTB,841913000
2016-12-31,PG,26519000
2016-12-31,PSX,6972414000
2016-12-31,QSR,402166000
2016-12-31,SIRI,741547000
2016-12-31,TFCFA,251011000
2016-12-31,UAL,2109975000
2016-12-31,UPS,6810000
2016-12-31,USB,4369696000
2016-12-31,USG,1126378000
2016-12-31,V,824083000
2016-12-31,VRSK,126904000
2016-12-31,VRSN,985315000
2016-12-31,VZ,50000
2016-12-31,WBC,357555000
2016-12-31,WFC,26436503000
2016-12-31,WMT,96320000
2017-03-31,AAL,2084496000
2017-03-31,AAPL,18583441000
2017-03-31,AXP,11993921000
2017-03-31,AXTA,751033000
2017-03-31,BK,1559160000
2017-03-31,CHTR,3091043000
2017-03-31,COST,726662000
2017-03-31,DAL,2528995000
2017-03-31,DVA,2621301000
2017-03-31,GE,315448000
2017-03-31,GHC,64496000
2017-03-31,GL,489492000
2017-03-31,GM,1768001000
2017-03-31,GS,2517620000
2017-03-31,IBM,11242819000
2017-03-31,JNJ,40740000
2017-03-31,KHC,29570898000
2017-03-31,KO,16976000000
2017-03-31,LBTYA,723889000
2017-03-31,LBTYK,257438000
2017-03-31,LILA,60378000
2017-03-31,LILAK,29584000
2017-03-31,LSXMA,398845000
2017-03-31,LSXMK,865070000
2017-03-31,LUV,2562172000
2017-03-31,MA,555012000
2017-03-31,MCO,2764002000
2017-03-31,MDLZ,24900000
2017-03-31,MON2,910330000
2017-03-31,MTB,832764000
2017-03-31,PG,28339000
2017-03-31,PSX,6392254000
2017-03-31,QSR,470347000
2017-03-31,SIRI,887476000
2017-03-31,UAL,2045124000
2017-03-31,UPS,6374000
2017-03-31,USB,4380754000
2017-03-31,USG,1240264000
2017-03-31,V,938686000
